Date,Company,Open,High,Low,Close,Adj Close,Volume
1/4/16,Ford Motor Company,13.87,14,13.75,13.97,9.421246,38618500
1/5/16,Ford Motor Company,13.97,14,13.51,13.72,9.252649,50267500
1/6/16,Ford Motor Company,13.56,13.56,13.05,13.11,8.841269,61285500
1/7/16,Ford Motor Company,12.9,13.04,12.6,12.7,8.564771,57846700
1/8/16,Ford Motor Company,13.05,13.1,12.5,12.54,8.456869,46199400
1/11/16,Ford Motor Company,12.8,12.82,12.55,12.77,8.611978,41269100
1/12/16,Ford Motor Company,13.03,13.04,12.58,12.85,8.665927,50983700
1/13/16,Ford Motor Company,12.73,12.84,12.06,12.2,8.227574,102174700
1/14/16,Ford Motor Company,12.19,12.31,11.82,12.19,8.220829,62938600
1/15/16,Ford Motor Company,11.81,12,11.58,11.97,8.072464,69030000
1/19/16,Ford Motor Company,12.15,12.16,11.82,11.95,8.058975,41142600
1/20/16,Ford Motor Company,11.79,12.07,11.47,11.9,8.025255,59879000
1/21/16,Ford Motor Company,12.01,12.28,11.86,12.01,8.099443,48841800
1/22/16,Ford Motor Company,12.26,12.36,12.03,12.14,8.187114,44537800
1/25/16,Ford Motor Company,12.3,12.31,11.93,11.98,8.079206,96738600
1/26/16,Ford Motor Company,12.14,12.3,12.04,12.26,8.26804,45969800
1/27/16,Ford Motor Company,12.05,12.1,11.73,11.85,8.261067,42064200
1/28/16,Ford Motor Company,12.03,12.06,11.2,11.71,8.163465,75699800
1/29/16,Ford Motor Company,11.83,11.94,11.65,11.94,8.323808,52137400
2/1/16,Ford Motor Company,11.92,12.14,11.73,12.07,8.414436,37301200
2/2/16,Ford Motor Company,11.95,12.08,11.45,11.51,8.024041,55649200
2/3/16,Ford Motor Company,11.67,11.68,11.02,11.46,7.989184,69454600
2/4/16,Ford Motor Company,11.37,11.69,11.26,11.53,8.037983,40223100
2/5/16,Ford Motor Company,11.52,11.7,11.42,11.45,7.982213,33322200
2/8/16,Ford Motor Company,11.39,11.69,11.25,11.59,8.079812,45274500
2/9/16,Ford Motor Company,11.47,11.61,11.22,11.35,7.912499,48956800
2/10/16,Ford Motor Company,11.46,11.57,11.33,11.34,7.905524,38160300
2/11/16,Ford Motor Company,11.17,11.43,11.1,11.17,7.787014,45801300
2/12/16,Ford Motor Company,11.25,11.58,11.18,11.55,8.051926,28085000
2/16/16,Ford Motor Company,11.75,11.88,11.53,11.87,8.27501,41072100
2/17/16,Ford Motor Company,11.99,12.3,11.98,12.27,8.553865,37766400
2/18/16,Ford Motor Company,12.4,12.44,12.12,12.26,8.546894,28784700
2/19/16,Ford Motor Company,12.19,12.22,12.01,12.1,8.43535,26479300
2/22/16,Ford Motor Company,12.1,12.56,12.1,12.56,8.756035,33549700
2/23/16,Ford Motor Company,12.53,12.65,12.42,12.42,8.658432,30136700
2/24/16,Ford Motor Company,12.11,12.11,11.6,12.08,8.421409,60608400
2/25/16,Ford Motor Company,12.11,12.4,12.05,12.39,8.637522,32024800
2/26/16,Ford Motor Company,12.52,12.59,12.4,12.47,8.693292,30228800
2/29/16,Ford Motor Company,12.42,12.65,12.39,12.51,8.721178,32999100
3/1/16,Ford Motor Company,13.01,13.12,12.72,13.09,9.125514,71523900
3/2/16,Ford Motor Company,13.06,13.35,13.04,13.22,9.216146,36598200
3/3/16,Ford Motor Company,13.25,13.61,13.24,13.54,9.439229,44524500
3/4/16,Ford Motor Company,13.56,13.86,13.43,13.59,9.474082,31818600
3/7/16,Ford Motor Company,13.46,13.74,13.45,13.62,9.494998,26131400
3/8/16,Ford Motor Company,13.51,13.58,13.15,13.23,9.223114,34770600
3/9/16,Ford Motor Company,13.25,13.32,13.01,13.19,9.195228,34146200
3/10/16,Ford Motor Company,13.25,13.28,12.92,13.15,9.167343,39076500
3/11/16,Ford Motor Company,13.26,13.3,13.2,13.29,9.264942,27583000
3/14/16,Ford Motor Company,13.28,13.37,13.18,13.27,9.251001,20609600
3/15/16,Ford Motor Company,13.12,13.24,13.05,13.23,9.223114,27729900
3/16/16,Ford Motor Company,13.21,13.51,13.18,13.5,9.411343,47035000
3/17/16,Ford Motor Company,13.47,13.68,13.39,13.47,9.390429,31521700
3/18/16,Ford Motor Company,13.54,13.7,13.49,13.64,9.508942,32182400
3/21/16,Ford Motor Company,13.64,13.76,13.56,13.66,9.522883,20905200
3/22/16,Ford Motor Company,13.65,13.73,13.51,13.59,9.474082,26148000
3/23/16,Ford Motor Company,13.57,13.61,13.19,13.26,9.244028,31535500
3/24/16,Ford Motor Company,13.11,13.12,12.78,13.06,9.104601,36203200
3/28/16,Ford Motor Company,13.13,13.17,13.07,13.09,9.125514,18684200
3/29/16,Ford Motor Company,13.05,13.2,12.97,13.2,9.2022,26077400
3/30/16,Ford Motor Company,13.28,13.44,13.25,13.35,9.306772,25322500
3/31/16,Ford Motor Company,13.34,13.52,13.34,13.5,9.411343,32943400
4/1/16,Ford Motor Company,13.28,13.33,13.05,13.1,9.132486,57914000
4/4/16,Ford Motor Company,13.11,13.12,12.76,12.8,8.923347,42406300
