Date,Company,Open,High,Low,Close,Adj Close,Volume
1/4/2016,Toyota Motor Engineering & Manufacturing,121.519997,122.260002,120.169998,121.459999,117.422958,413500
1/5/2016,Toyota Motor Engineering & Manufacturing,121.540001,121.540001,120.160004,121.139999,117.113594,306400
1/6/2016,Toyota Motor Engineering & Manufacturing,118.57,118.800003,117.760002,118.379997,114.445328,277600
1/7/2016,Toyota Motor Engineering & Manufacturing,116.080002,116.639999,115.459999,115.57,111.728729,407500
1/8/2016,Toyota Motor Engineering & Manufacturing,116.32,116.68,112.919998,113.059998,109.302155,635800
1/11/2016,Toyota Motor Engineering & Manufacturing,114.260002,114.879997,113.459999,114.809998,110.993988,511500
1/12/2016,Toyota Motor Engineering & Manufacturing,116.650002,116.720001,114.470001,115.830002,111.980087,341200
1/13/2016,Toyota Motor Engineering & Manufacturing,117.199997,117.360001,114.540001,114.989998,111.167999,345800
1/14/2016,Toyota Motor Engineering & Manufacturing,115.370003,116.629997,114.209999,116.290001,112.424797,354100
1/15/2016,Toyota Motor Engineering & Manufacturing,114.059998,114.169998,111.889999,112.599998,108.857445,637000
1/19/2016,Toyota Motor Engineering & Manufacturing,116.010002,116.099998,113.870003,115.019997,111.196999,485500
1/20/2016,Toyota Motor Engineering & Manufacturing,112.300003,112.43,108.940002,111.510002,107.803673,1000200
1/21/2016,Toyota Motor Engineering & Manufacturing,110.360001,112.050003,109.470001,111.099998,107.407295,285300
1/22/2016,Toyota Motor Engineering & Manufacturing,115.110001,116.040001,114.82,115.949997,112.096092,595500
1/25/2016,Toyota Motor Engineering & Manufacturing,114.370003,114.589996,113.209999,113.410004,109.640526,248600
1/26/2016,Toyota Motor Engineering & Manufacturing,113.300003,114.379997,113.18,114.349998,110.549278,267500
1/27/2016,Toyota Motor Engineering & Manufacturing,116,117.089996,114.800003,115.32,111.487038,320900
1/28/2016,Toyota Motor Engineering & Manufacturing,116.68,116.68,114.93,116.120003,112.260445,313700
1/29/2016,Toyota Motor Engineering & Manufacturing,118.75,120.029999,118.010002,120.029999,116.040489,746000
2/1/2016,Toyota Motor Engineering & Manufacturing,120,120.769997,119.160004,120.400002,116.398193,416700
2/2/2016,Toyota Motor Engineering & Manufacturing,120.150002,120.150002,118.5,119,115.044724,353400
2/3/2016,Toyota Motor Engineering & Manufacturing,116.480003,116.75,113.389999,114.989998,111.167999,622600
2/4/2016,Toyota Motor Engineering & Manufacturing,114.989998,114.989998,112.730003,114.290001,110.491272,560900
2/5/2016,Toyota Motor Engineering & Manufacturing,112.239998,112.519997,109,110.389999,106.720894,851100
2/8/2016,Toyota Motor Engineering & Manufacturing,109.739998,109.809998,107.970001,109.129997,105.502769,687700
2/9/2016,Toyota Motor Engineering & Manufacturing,105.989998,107.57,105.580002,106.839996,103.288895,498800
2/10/2016,Toyota Motor Engineering & Manufacturing,108.620003,109.470001,106.639999,106.769997,103.221214,414100
2/11/2016,Toyota Motor Engineering & Manufacturing,105.290001,105.779999,104.169998,105.080002,101.587387,545900
2/12/2016,Toyota Motor Engineering & Manufacturing,103.169998,105.370003,102.540001,105.260002,101.761406,668300
2/16/2016,Toyota Motor Engineering & Manufacturing,108.050003,108.589996,107.449997,108.209999,104.61335,476700
2/17/2016,Toyota Motor Engineering & Manufacturing,107.690002,108.449997,107.599998,108.129997,104.536011,696500
2/18/2016,Toyota Motor Engineering & Manufacturing,108.580002,108.949997,107.220001,107.449997,103.878609,224700
2/19/2016,Toyota Motor Engineering & Manufacturing,105.68,105.849998,104.800003,105.309998,101.809746,723200
2/22/2016,Toyota Motor Engineering & Manufacturing,106.07,106.900002,106.059998,106.690002,103.143883,297400
2/23/2016,Toyota Motor Engineering & Manufacturing,106.550003,106.669998,105.529999,105.620003,102.109444,161700
2/24/2016,Toyota Motor Engineering & Manufacturing,105.07,105.220001,102.849998,104.589996,101.11367,628600
2/25/2016,Toyota Motor Engineering & Manufacturing,104.589996,105.589996,104.459999,105.57,102.061104,849000
2/26/2016,Toyota Motor Engineering & Manufacturing,105,106.080002,104.629997,105.139999,101.645401,492600
2/29/2016,Toyota Motor Engineering & Manufacturing,105.099998,105.279999,104.099998,104.099998,100.639961,423600
3/1/2016,Toyota Motor Engineering & Manufacturing,105.300003,106.650002,104.889999,106.410004,102.873192,344700
3/2/2016,Toyota Motor Engineering & Manufacturing,106.849998,107.300003,106.519997,106.989998,103.433907,275700
3/3/2016,Toyota Motor Engineering & Manufacturing,107.690002,108.57,107.639999,108.57,104.961395,289300
3/4/2016,Toyota Motor Engineering & Manufacturing,109.559998,110.290001,109,109.550003,105.908821,204700
3/7/2016,Toyota Motor Engineering & Manufacturing,107.230003,108.550003,107.07,107.910004,104.323326,745300
3/8/2016,Toyota Motor Engineering & Manufacturing,106.519997,106.699997,105.620003,105.82,102.302795,459500
3/9/2016,Toyota Motor Engineering & Manufacturing,106.860001,106.910004,105.800003,106.25,102.718506,201900
3/10/2016,Toyota Motor Engineering & Manufacturing,108.760002,108.980003,106.160004,107.080002,103.520912,644900
3/11/2016,Toyota Motor Engineering & Manufacturing,108.660004,109.279999,108.540001,109.260002,105.628456,216700
3/14/2016,Toyota Motor Engineering & Manufacturing,109.25,109.489998,108.809998,108.949997,105.328758,251500
3/15/2016,Toyota Motor Engineering & Manufacturing,107.410004,107.419998,106.449997,107.220001,103.656265,404400
3/16/2016,Toyota Motor Engineering & Manufacturing,106.470001,107.769997,106.099998,107.540001,103.965622,343000
3/17/2016,Toyota Motor Engineering & Manufacturing,106.889999,108.480003,106.440002,107.93,104.342667,354700
3/18/2016,Toyota Motor Engineering & Manufacturing,106.279999,106.93,105.800003,106.599998,103.05687,615500
3/21/2016,Toyota Motor Engineering & Manufacturing,106.410004,107.43,106.410004,107.139999,103.578918,442100
3/22/2016,Toyota Motor Engineering & Manufacturing,108.110001,109.32,107.760002,108.599998,104.990395,318600
3/23/2016,Toyota Motor Engineering & Manufacturing,108.480003,108.989998,108.099998,108.099998,104.507011,291100
3/24/2016,Toyota Motor Engineering & Manufacturing,106.389999,106.389999,105.75,106.32,102.786171,399800
3/28/2016,Toyota Motor Engineering & Manufacturing,108.5,109.089996,108.089996,108.690002,105.0774,450500
3/29/2016,Toyota Motor Engineering & Manufacturing,108,108.419998,107.339996,108.349998,106.72731,345900
3/30/2016,Toyota Motor Engineering & Manufacturing,108,108.099998,107.449997,107.599998,105.988548,323500
3/31/2016,Toyota Motor Engineering & Manufacturing,106.410004,106.760002,106.120003,106.32,104.727715,384500
4/1/2016,Toyota Motor Engineering & Manufacturing,103.470001,104.029999,103.010002,103.540001,101.989349,531800
4/4/2016,Toyota Motor Engineering & Manufacturing,101.660004,101.870003,100.910004,101.379997,99.861694,993600
4/5/2016,Toyota Motor Engineering & Manufacturing,98.230003,99.559998,98.110001,98.739998,97.261238,1156400
4/6/2016,Toyota Motor Engineering & Manufacturing,98.900002,99.620003,98.379997,99.510002,98.019707,492300
4/7/2016,Toyota Motor Engineering & Manufacturing,99.209999,99.25,97.800003,98.269997,96.798271,547600
4/8/2016,Toyota Motor Engineering & Manufacturing,100.699997,101.099998,100.400002,100.660004,99.152489,517100
4/11/2016,Toyota Motor Engineering & Manufacturing,98.529999,99.089996,98.300003,98.43,96.955879,990300
4/12/2016,Toyota Motor Engineering & Manufacturing,101.230003,101.970001,101.019997,101.580002,100.058708,523400
4/13/2016,Toyota Motor Engineering & Manufacturing,103.760002,104.309998,103.489998,104.260002,102.69857,628900
4/14/2016,Toyota Motor Engineering & Manufacturing,105,105.389999,104.790001,104.959999,103.388084,406500
4/15/2016,Toyota Motor Engineering & Manufacturing,104.510002,104.510002,103.489998,103.68,102.127258,399300
4/18/2016,Toyota Motor Engineering & Manufacturing,102,103.540001,102,103.360001,101.81205,303000
4/19/2016,Toyota Motor Engineering & Manufacturing,105.099998,105.379997,104.449997,104.699997,103.131973,252000
4/20/2016,Toyota Motor Engineering & Manufacturing,104.720001,105.330002,104.160004,104.849998,103.279732,261300
4/21/2016,Toyota Motor Engineering & Manufacturing,105.540001,105.860001,105.25,105.440002,103.860901,310500
4/22/2016,Toyota Motor Engineering & Manufacturing,106.959999,107.57,106.669998,107.449997,105.84079,473700
4/25/2016,Toyota Motor Engineering & Manufacturing,107.519997,107.910004,106.699997,107.339996,105.732437,307000
4/26/2016,Toyota Motor Engineering & Manufacturing,107.349998,107.43,106.760002,107.32,105.712738,252500
4/27/2016,Toyota Motor Engineering & Manufacturing,105.75,106.639999,105.510002,106.370003,104.77697,271100
4/28/2016,Toyota Motor Engineering & Manufacturing,103.620003,104.660004,102.809998,102.959999,101.418037,740300
4/29/2016,Toyota Motor Engineering & Manufacturing,102.690002,102.760002,101.419998,101.699997,100.176903,496300
5/2/2016,Toyota Motor Engineering & Manufacturing,102.519997,102.730003,101.959999,102.470001,100.935379,336900
5/3/2016,Toyota Motor Engineering & Manufacturing,101.669998,101.919998,100.599998,101.449997,99.930649,315000
5/4/2016,Toyota Motor Engineering & Manufacturing,101.68,101.68,100.589996,100.620003,99.113083,350500
5/5/2016,Toyota Motor Engineering & Manufacturing,101.260002,101.449997,100.669998,101.269997,99.753342,377200
5/6/2016,Toyota Motor Engineering & Manufacturing,101.580002,102.080002,101.199997,101.959999,100.433014,283100
5/9/2016,Toyota Motor Engineering & Manufacturing,103.459999,103.639999,102.330002,102.610001,101.07328,360200
5/10/2016,Toyota Motor Engineering & Manufacturing,104.150002,104.82,103.949997,104.82,103.250183,483400
5/11/2016,Toyota Motor Engineering & Manufacturing,101.32,101.730003,98.019997,98.440002,96.965736,1241800
5/12/2016,Toyota Motor Engineering & Manufacturing,98.440002,101.989998,98.440002,101.379997,99.861694,1043200
5/13/2016,Toyota Motor Engineering & Manufacturing,100.239998,100.839996,99.690002,99.790001,98.295517,371600
5/16/2016,Toyota Motor Engineering & Manufacturing,100.169998,101.120003,100.120003,100.82,99.310089,322200
5/17/2016,Toyota Motor Engineering & Manufacturing,101.010002,101.360001,100.5,100.610001,99.103233,305800
5/18/2016,Toyota Motor Engineering & Manufacturing,100.599998,102.089996,100.529999,101.529999,100.009453,374300
5/19/2016,Toyota Motor Engineering & Manufacturing,99.57,99.870003,99.230003,99.610001,98.11821,402600
5/20/2016,Toyota Motor Engineering & Manufacturing,100.629997,101.080002,100.400002,100.610001,99.103233,340800
5/23/2016,Toyota Motor Engineering & Manufacturing,100.32,100.32,99.459999,99.550003,98.059113,447900
5/24/2016,Toyota Motor Engineering & Manufacturing,99.93,101.110001,99.400002,100.639999,99.132782,852500
5/25/2016,Toyota Motor Engineering & Manufacturing,101.650002,102.760002,101.440002,102.620003,101.08313,772000
5/26/2016,Toyota Motor Engineering & Manufacturing,102.620003,102.75,102.07,102.269997,100.738365,371000
5/27/2016,Toyota Motor Engineering & Manufacturing,101.800003,101.870003,100.230003,100.589996,99.083527,417600
5/31/2016,Toyota Motor Engineering & Manufacturing,103.349998,103.980003,102.629997,103.410004,101.861305,673300
6/1/2016,Toyota Motor Engineering & Manufacturing,104.239998,104.279999,102.82,103.330002,101.782501,540200
6/2/2016,Toyota Motor Engineering & Manufacturing,103.400002,103.989998,103.209999,103.82,102.26516,301000
6/3/2016,Toyota Motor Engineering & Manufacturing,103.690002,104.07,102.769997,103.5,101.949951,449900
6/6/2016,Toyota Motor Engineering & Manufacturing,105.620003,105.839996,105.099998,105.540001,103.959396,559800
6/7/2016,Toyota Motor Engineering & Manufacturing,105.620003,105.800003,105.410004,105.489998,103.910149,349500
6/8/2016,Toyota Motor Engineering & Manufacturing,105.559998,105.800003,105.290001,105.650002,104.067757,217900
6/9/2016,Toyota Motor Engineering & Manufacturing,104.5,104.709999,104.150002,104.5,102.934975,283300
6/10/2016,Toyota Motor Engineering & Manufacturing,103.650002,103.760002,102.75,103.199997,101.654442,316700
6/13/2016,Toyota Motor Engineering & Manufacturing,102.260002,102.699997,101.489998,101.690002,100.167061,310000
6/14/2016,Toyota Motor Engineering & Manufacturing,101.169998,101.550003,100.230003,101.080002,99.566193,375800
6/15/2016,Toyota Motor Engineering & Manufacturing,102.639999,103.239998,102.269997,102.480003,100.945229,414900
6/16/2016,Toyota Motor Engineering & Manufacturing,101.010002,102.120003,100.580002,101.989998,100.462563,305900
6/17/2016,Toyota Motor Engineering & Manufacturing,103.260002,103.559998,102.480003,103.239998,101.69384,395100
6/20/2016,Toyota Motor Engineering & Manufacturing,106.709999,107.050003,105.629997,105.800003,104.215508,567900
6/21/2016,Toyota Motor Engineering & Manufacturing,107.300003,107.660004,107,107.120003,105.515739,568100
6/22/2016,Toyota Motor Engineering & Manufacturing,107.010002,107.550003,106.419998,106.5,104.905022,881200
6/23/2016,Toyota Motor Engineering & Manufacturing,109.68,110,109.129997,109.949997,108.303352,576900
6/24/2016,Toyota Motor Engineering & Manufacturing,104.129997,105.18,103.050003,103.959999,102.403061,783700
6/27/2016,Toyota Motor Engineering & Manufacturing,101.18,101.18,99.300003,100.260002,98.758476,691200
6/28/2016,Toyota Motor Engineering & Manufacturing,98.959999,99.940002,98.389999,99.849998,98.354614,967700
6/29/2016,Toyota Motor Engineering & Manufacturing,100.610001,101.809998,100.459999,101.519997,99.999603,484100
6/30/2016,Toyota Motor Engineering & Manufacturing,99.860001,99.989998,98.809998,99.989998,98.492516,1270000
7/1/2016,Toyota Motor Engineering & Manufacturing,99.580002,100.209999,99.370003,99.639999,98.147758,515100
7/5/2016,Toyota Motor Engineering & Manufacturing,99.629997,99.68,98.900002,99.18,97.694649,500700
7/6/2016,Toyota Motor Engineering & Manufacturing,99.360001,99.849998,98.480003,99.779999,98.28566,423500
7/7/2016,Toyota Motor Engineering & Manufacturing,100.470001,100.839996,100.050003,100.589996,99.083527,423300
7/8/2016,Toyota Motor Engineering & Manufacturing,101.209999,102.160004,101.080002,102.07,100.541367,372800
7/11/2016,Toyota Motor Engineering & Manufacturing,104.919998,105.879997,104.839996,105.660004,104.077606,679300
7/12/2016,Toyota Motor Engineering & Manufacturing,106.75,107.279999,106.510002,106.540001,104.94442,456300
7/13/2016,Toyota Motor Engineering & Manufacturing,108.099998,108.489998,107.260002,107.860001,106.244652,537200
7/14/2016,Toyota Motor Engineering & Manufacturing,108.389999,108.410004,107.82,107.980003,106.362862,296800
7/15/2016,Toyota Motor Engineering & Manufacturing,108.940002,109.139999,108.540001,108.82,107.190277,351300
7/18/2016,Toyota Motor Engineering & Manufacturing,108.68,109.18,108.550003,109.010002,107.377434,233900
7/19/2016,Toyota Motor Engineering & Manufacturing,108.68,108.699997,108.129997,108.559998,106.934166,220500
7/20/2016,Toyota Motor Engineering & Manufacturing,108.900002,109.400002,108.720001,109.300003,107.663094,192500
7/21/2016,Toyota Motor Engineering & Manufacturing,109.160004,109.480003,108.669998,108.860001,107.229675,292700
7/22/2016,Toyota Motor Engineering & Manufacturing,109.620003,109.879997,109.5,109.68,108.037399,205900
7/25/2016,Toyota Motor Engineering & Manufacturing,109.900002,110.139999,109.620003,109.68,108.037399,204600
7/26/2016,Toyota Motor Engineering & Manufacturing,109.239998,109.769997,109.18,109.599998,107.958595,198100
7/27/2016,Toyota Motor Engineering & Manufacturing,111.410004,111.459999,110.07,110.57,108.91407,384800
7/28/2016,Toyota Motor Engineering & Manufacturing,111.220001,111.32,109.900002,110.760002,109.101227,600000
7/29/2016,Toyota Motor Engineering & Manufacturing,112.419998,112.790001,110.879997,111.599998,109.928642,756500
8/1/2016,Toyota Motor Engineering & Manufacturing,112.120003,112.199997,110.980003,111.230003,109.564186,445100
8/2/2016,Toyota Motor Engineering & Manufacturing,110.339996,110.800003,109.080002,109.970001,108.323051,534100
8/3/2016,Toyota Motor Engineering & Manufacturing,109.800003,110.080002,109.370003,110.07,108.421555,358000
8/4/2016,Toyota Motor Engineering & Manufacturing,112.269997,112.480003,111.309998,112.309998,110.628006,907300
8/5/2016,Toyota Motor Engineering & Manufacturing,115.839996,116.230003,115.410004,115.959999,114.223343,602900
8/8/2016,Toyota Motor Engineering & Manufacturing,118.129997,118.519997,117.290001,117.410004,115.651634,667900
8/9/2016,Toyota Motor Engineering & Manufacturing,117.43,117.5,116.690002,117.419998,115.661476,342100
8/10/2016,Toyota Motor Engineering & Manufacturing,117.010002,117.349998,116.900002,116.949997,115.198517,191300
8/11/2016,Toyota Motor Engineering & Manufacturing,117.230003,117.940002,117.129997,117.769997,116.006233,264700
8/12/2016,Toyota Motor Engineering & Manufacturing,117.57,118.18,117.470001,117.790001,116.02594,239900
8/15/2016,Toyota Motor Engineering & Manufacturing,117.5,117.889999,117.5,117.580002,115.819084,120000
8/16/2016,Toyota Motor Engineering & Manufacturing,117,117.709999,116.800003,117.279999,115.523575,221500
8/17/2016,Toyota Motor Engineering & Manufacturing,118.529999,119.220001,118.519997,119.199997,117.414818,537100
8/18/2016,Toyota Motor Engineering & Manufacturing,118.25,119.160004,118.25,118.940002,117.158722,775200
8/19/2016,Toyota Motor Engineering & Manufacturing,119.470001,119.849998,119.400002,119.620003,117.828537,356800
8/22/2016,Toyota Motor Engineering & Manufacturing,120.309998,120.760002,120.199997,120.580002,118.774155,332200
8/23/2016,Toyota Motor Engineering & Manufacturing,120.269997,120.400002,119.800003,119.800003,118.005836,169900
8/24/2016,Toyota Motor Engineering & Manufacturing,121.580002,121.769997,120.730003,120.900002,119.089363,368500
8/25/2016,Toyota Motor Engineering & Manufacturing,120.760002,120.959999,120.209999,120.290001,118.488503,354300
8/26/2016,Toyota Motor Engineering & Manufacturing,118.269997,119.309998,117.970001,118.620003,116.843513,405500
8/29/2016,Toyota Motor Engineering & Manufacturing,120.019997,120.440002,120.010002,120.339996,118.537743,205400
8/30/2016,Toyota Motor Engineering & Manufacturing,121.230003,121.410004,120.940002,121.239998,119.424271,169500
8/31/2016,Toyota Motor Engineering & Manufacturing,121.190002,121.370003,120.040001,120.629997,118.823402,395300
9/1/2016,Toyota Motor Engineering & Manufacturing,121.589996,122,120.57,121.019997,119.207565,341000
9/2/2016,Toyota Motor Engineering & Manufacturing,121.519997,122.089996,121.519997,122.080002,120.251694,339000
9/6/2016,Toyota Motor Engineering & Manufacturing,120.510002,120.75,120.080002,120.669998,118.862808,291900
9/7/2016,Toyota Motor Engineering & Manufacturing,121.370003,121.800003,120.589996,120.739998,118.931755,268700
9/8/2016,Toyota Motor Engineering & Manufacturing,120.779999,121.269997,120.650002,121.010002,119.197716,163700
9/9/2016,Toyota Motor Engineering & Manufacturing,120,120.150002,118.639999,118.660004,116.882912,370600
9/12/2016,Toyota Motor Engineering & Manufacturing,118.660004,120.489998,118.660004,120.349998,118.5476,245200
9/13/2016,Toyota Motor Engineering & Manufacturing,119.339996,119.82,118.360001,118.809998,117.030663,349800
9/14/2016,Toyota Motor Engineering & Manufacturing,117.849998,117.849998,117.309998,117.449997,115.691025,291800
9/15/2016,Toyota Motor Engineering & Manufacturing,117.019997,118.370003,116.82,118.169998,116.400246,224500
9/16/2016,Toyota Motor Engineering & Manufacturing,114.870003,115.199997,114.379997,114.629997,112.913261,600200
9/19/2016,Toyota Motor Engineering & Manufacturing,115.25,116.029999,114.970001,115.07,113.346672,221200
9/20/2016,Toyota Motor Engineering & Manufacturing,116.849998,117.010002,116.32,116.459999,114.715858,195400
9/21/2016,Toyota Motor Engineering & Manufacturing,119.629997,120.199997,118.010002,119.449997,117.661072,402200
9/22/2016,Toyota Motor Engineering & Manufacturing,120.830002,121.169998,120.330002,120.800003,118.99086,508300
9/23/2016,Toyota Motor Engineering & Manufacturing,117.620003,117.889999,117.260002,117.660004,115.897888,402200
9/26/2016,Toyota Motor Engineering & Manufacturing,116.860001,117.32,116.5,117.099998,115.346268,317100
9/27/2016,Toyota Motor Engineering & Manufacturing,118.599998,118.599998,117.790001,118.32,116.548004,325900
9/28/2016,Toyota Motor Engineering & Manufacturing,117.349998,117.75,116.480003,117.629997,117.629997,188000
9/29/2016,Toyota Motor Engineering & Manufacturing,116.529999,116.849998,115.760002,115.989998,115.989998,400300
9/30/2016,Toyota Motor Engineering & Manufacturing,115.260002,116.580002,115,116.059998,116.059998,375900
10/3/2016,Toyota Motor Engineering & Manufacturing,114.489998,115.669998,114.339996,115.260002,115.260002,609500
10/4/2016,Toyota Motor Engineering & Manufacturing,115.559998,116.239998,115.110001,115.330002,115.330002,165600
10/5/2016,Toyota Motor Engineering & Manufacturing,116.43,117.18,116.43,117.07,117.07,202300
10/6/2016,Toyota Motor Engineering & Manufacturing,116.220001,116.650002,116.18,116.440002,116.440002,133600
10/7/2016,Toyota Motor Engineering & Manufacturing,115.959999,116.089996,115.220001,115.889999,115.889999,228900
10/10/2016,Toyota Motor Engineering & Manufacturing,116.129997,116.830002,116.059998,116.419998,116.419998,165200
10/11/2016,Toyota Motor Engineering & Manufacturing,115.800003,115.800003,115.019997,115.32,115.32,224600
10/12/2016,Toyota Motor Engineering & Manufacturing,115,115.349998,114.639999,115.150002,115.150002,157700
10/13/2016,Toyota Motor Engineering & Manufacturing,114.529999,115.199997,114.089996,114.690002,114.690002,231700
10/14/2016,Toyota Motor Engineering & Manufacturing,115.32,115.830002,115.050003,115.089996,115.089996,156800
10/17/2016,Toyota Motor Engineering & Manufacturing,115.18,115.839996,115.080002,115.43,115.43,163900
10/18/2016,Toyota Motor Engineering & Manufacturing,115.519997,115.519997,114.830002,115.050003,115.050003,188100
10/19/2016,Toyota Motor Engineering & Manufacturing,115.129997,115.379997,114.889999,114.889999,114.889999,112600
10/20/2016,Toyota Motor Engineering & Manufacturing,115.879997,116.32,115.629997,116.139999,116.139999,161400
10/21/2016,Toyota Motor Engineering & Manufacturing,114.860001,115.360001,114.610001,115.269997,115.269997,174700
10/24/2016,Toyota Motor Engineering & Manufacturing,115.129997,115.519997,115.029999,115.449997,115.449997,141300
10/25/2016,Toyota Motor Engineering & Manufacturing,115.43,115.75,115.239998,115.25,115.25,159900
10/26/2016,Toyota Motor Engineering & Manufacturing,114.93,115.699997,114.75,115.5,115.5,211200
10/27/2016,Toyota Motor Engineering & Manufacturing,115.389999,115.5,114.809998,114.849998,114.849998,216100
10/28/2016,Toyota Motor Engineering & Manufacturing,114.839996,115.139999,114.410004,114.809998,114.809998,140500
10/31/2016,Toyota Motor Engineering & Manufacturing,115.510002,115.790001,115.400002,115.660004,115.660004,135000
11/1/2016,Toyota Motor Engineering & Manufacturing,115.760002,115.760002,114.18,114.730003,114.730003,307300
11/2/2016,Toyota Motor Engineering & Manufacturing,114.139999,114.669998,113.129997,113.379997,113.379997,227400
11/3/2016,Toyota Motor Engineering & Manufacturing,113.790001,114.18,112.940002,113.169998,113.169998,320400
11/4/2016,Toyota Motor Engineering & Manufacturing,110.529999,111.199997,110.239998,110.559998,110.559998,321400
11/7/2016,Toyota Motor Engineering & Manufacturing,111.620003,112.550003,111.489998,112.480003,112.480003,354400
11/8/2016,Toyota Motor Engineering & Manufacturing,113,115.400002,112.620003,113.809998,113.809998,228700
11/9/2016,Toyota Motor Engineering & Manufacturing,110.349998,112.779999,110.349998,111.809998,111.809998,567900
11/10/2016,Toyota Motor Engineering & Manufacturing,110.93,111.400002,109.940002,110.860001,110.860001,371900
11/11/2016,Toyota Motor Engineering & Manufacturing,111.449997,112.050003,111.370003,111.949997,111.949997,158600
11/14/2016,Toyota Motor Engineering & Manufacturing,111.830002,112.43,111.510002,111.779999,111.779999,226700
11/15/2016,Toyota Motor Engineering & Manufacturing,111.980003,112.489998,111.809998,112.489998,112.489998,142000
11/16/2016,Toyota Motor Engineering & Manufacturing,112.639999,112.879997,112.370003,112.57,112.57,228700
11/17/2016,Toyota Motor Engineering & Manufacturing,113,113.239998,112.360001,113.239998,113.239998,201200
11/18/2016,Toyota Motor Engineering & Manufacturing,114.059998,114.43,113.919998,114.040001,114.040001,235500
11/21/2016,Toyota Motor Engineering & Manufacturing,114.220001,114.669998,114.129997,114.510002,114.510002,218400
11/22/2016,Toyota Motor Engineering & Manufacturing,113.709999,113.870003,113.25,113.779999,113.779999,153200
