Date,Company,Open,High,Low,Close,Adj Close,Volume
1/4/2016,"General Motors, LLC",33.450001,33.540001,32.84,33.310001,27.436119,14875500
1/5/2016,"General Motors, LLC",33.330002,33.41,32.18,32.43,26.711296,19777200
1/6/2016,"General Motors, LLC",31.950001,31.98,31.01,31.27,25.755848,27515200
1/7/2016,"General Motors, LLC",30.26,30.82,29.83,29.99,24.701567,21046300
1/8/2016,"General Motors, LLC",30.459999,30.700001,29.42,29.530001,24.32268,16448000
1/11/2016,"General Motors, LLC",30.370001,30.48,29.68,30.25,24.915712,16877400
1/12/2016,"General Motors, LLC",30.629999,30.75,29.799999,30.299999,24.956898,13398900
1/13/2016,"General Motors, LLC",31.83,31.9,30.09,30.49,25.113392,31586200
1/14/2016,"General Motors, LLC",30.809999,30.889999,29.450001,30.299999,24.956898,27106700
1/15/2016,"General Motors, LLC",29.459999,29.68,28.799999,29.57,24.355631,26698100
1/19/2016,"General Motors, LLC",29.93,30,28.91,29.4,24.215605,17826600
1/20/2016,"General Motors, LLC",28.860001,29.9,28.32,29.42,24.232079,21481000
1/21/2016,"General Motors, LLC",29.459999,30.139999,29.07,29.549999,24.339157,15844000
1/22/2016,"General Motors, LLC",30.16,30.290001,29.030001,29.280001,24.116768,18302800
1/25/2016,"General Motors, LLC",29.33,29.59,29.02,29.23,24.075577,33627700
1/26/2016,"General Motors, LLC",29.41,29.75,29.040001,29.65,24.421518,11656700
1/27/2016,"General Motors, LLC",29.719999,29.9,29,29.209999,24.059109,12932300
1/28/2016,"General Motors, LLC",29.469999,29.48,28.4,29.02,23.902613,16421200
1/29/2016,"General Motors, LLC",29.17,29.639999,29.02,29.639999,24.413282,13445800
2/1/2016,"General Motors, LLC",29.459999,30.24,29.1,30.110001,24.800407,13831700
2/2/2016,"General Motors, LLC",29.99,30.190001,28.870001,29.65,24.421518,23777400
2/3/2016,"General Motors, LLC",30.1,30.25,28.18,28.92,23.820248,29069800
2/4/2016,"General Motors, LLC",28.940001,29.209999,28.1,28.639999,23.589624,21002800
2/5/2016,"General Motors, LLC",28.67,29.200001,28.42,28.540001,23.507259,14125200
2/8/2016,"General Motors, LLC",28.280001,28.84,28.049999,28.68,23.62257,19174000
2/9/2016,"General Motors, LLC",28.129999,28.870001,27.77,27.870001,22.955412,21654100
2/10/2016,"General Motors, LLC",28.120001,28.639999,27.690001,27.709999,22.823618,15163800
2/11/2016,"General Motors, LLC",27.48,28.09,26.690001,26.9,22.156456,25164400
2/12/2016,"General Motors, LLC",27.23,27.74,27.049999,27.709999,22.823618,11041000
2/16/2016,"General Motors, LLC",28,28.59,27.76,28.58,23.540199,14627500
2/17/2016,"General Motors, LLC",28.860001,29.35,28.700001,29.27,24.108528,13256100
2/18/2016,"General Motors, LLC",29.450001,29.549999,28.92,29.030001,23.910849,12158600
2/19/2016,"General Motors, LLC",28.879999,28.98,28.379999,28.780001,23.704937,12362300
2/22/2016,"General Motors, LLC",28.780001,29.639999,28.780001,29.629999,24.405046,12215500
2/23/2016,"General Motors, LLC",29.41,29.82,29.280001,29.379999,24.199131,9949600
2/24/2016,"General Motors, LLC",28.719999,28.9,27.809999,28.84,23.754353,20989100
2/25/2016,"General Motors, LLC",28.83,29.51,28.549999,29.5,24.297972,11904300
2/26/2016,"General Motors, LLC",29.73,29.959999,29.540001,29.629999,24.405046,15778300
2/29/2016,"General Motors, LLC",29.370001,29.799999,29.290001,29.440001,24.248549,10329400
3/1/2016,"General Motors, LLC",30.02,30.23,28.92,30.01,24.718039,21007300
3/2/2016,"General Motors, LLC",30,30.32,29.84,30.15,24.833347,12094700
3/3/2016,"General Motors, LLC",30.26,31.219999,30.200001,31.07,25.591112,18341300
3/4/2016,"General Motors, LLC",31.219999,31.74,31.059999,31.370001,25.838211,13963200
3/7/2016,"General Motors, LLC",31.309999,31.780001,31.190001,31.59,26.019421,11373800
3/8/2016,"General Motors, LLC",31.4,31.4,30.459999,30.68,25.26989,16794400
3/9/2016,"General Motors, LLC",30.469999,30.629999,30.200001,30.540001,25.470051,12158900
3/10/2016,"General Motors, LLC",30.719999,30.879999,30.27,30.82,25.703564,15092700
3/11/2016,"General Motors, LLC",31.049999,31.33,30.98,31.26,26.070518,13363000
3/14/2016,"General Motors, LLC",31.18,31.389999,30.9,31.18,26.003805,9353100
3/15/2016,"General Motors, LLC",30.860001,31.08,30.440001,31.049999,25.89538,8983200
3/16/2016,"General Motors, LLC",30.83,31.76,30.83,31.690001,26.429134,9991900
3/17/2016,"General Motors, LLC",31.73,32.099998,31.639999,31.959999,26.654314,11295900
3/18/2016,"General Motors, LLC",32.080002,32.380001,31.91,31.959999,26.654314,15431600
3/21/2016,"General Motors, LLC",32.110001,32.189999,31.75,32.080002,26.754395,7397300
3/22/2016,"General Motors, LLC",32.080002,32.209999,31.76,31.9,26.604273,8195600
3/23/2016,"General Motors, LLC",31.92,31.93,31.17,31.309999,26.112221,9107100
3/24/2016,"General Motors, LLC",30.879999,30.969999,30.389999,30.959999,25.820322,12041000
3/28/2016,"General Motors, LLC",31.129999,31.25,30.940001,31.02,25.870365,6109400
3/29/2016,"General Motors, LLC",31.040001,31.280001,30.58,31.190001,26.012144,13667800
3/30/2016,"General Motors, LLC",31.440001,31.67,30.959999,30.99,25.845345,13377600
3/31/2016,"General Motors, LLC",31.01,31.59,31,31.43,26.212299,10209000
4/1/2016,"General Motors, LLC",31.18,31.200001,30.32,30.469999,25.411669,17421700
4/4/2016,"General Motors, LLC",30.4,30.48,29.75,29.9,24.936289,12167300
4/5/2016,"General Motors, LLC",29.67,29.73,29.35,29.6,24.686094,9101900
4/6/2016,"General Motors, LLC",29.66,29.950001,29.299999,29.940001,24.96965,9620300
4/7/2016,"General Motors, LLC",29.85,29.950001,29.18,29.42,24.535978,12865600
4/8/2016,"General Motors, LLC",29.67,29.76,29.23,29.370001,24.494278,8843500
4/11/2016,"General Motors, LLC",29.49,30.040001,29.48,29.530001,24.627716,8882900
4/12/2016,"General Motors, LLC",29.559999,29.77,29.27,29.709999,24.777832,11214500
4/13/2016,"General Motors, LLC",30.01,30.870001,29.940001,30.780001,25.670202,11076800
4/14/2016,"General Motors, LLC",30.84,31.049999,30.639999,30.719999,25.620163,8218800
4/15/2016,"General Motors, LLC",30.68,30.85,30.41,30.559999,25.486727,8261200
4/18/2016,"General Motors, LLC",30.76,31.370001,30.610001,31.309999,26.112221,15745300
4/19/2016,"General Motors, LLC",31.65,32.16,31.610001,31.969999,26.662651,14408300
4/20/2016,"General Motors, LLC",32,32.41,32,32.189999,26.846132,12911500
4/21/2016,"General Motors, LLC",33.18,33.41,32.470001,32.66,27.238104,22792300
4/22/2016,"General Motors, LLC",32.66,32.790001,32.119999,32.18,26.837791,13824500
4/25/2016,"General Motors, LLC",32.09,32.110001,31.6,31.950001,26.645971,10604800
4/26/2016,"General Motors, LLC",32,32.299999,31.93,32.189999,26.846132,8701200
4/27/2016,"General Motors, LLC",32.18,32.290001,31.99,32.16,26.82111,6711400
4/28/2016,"General Motors, LLC",31.969999,32.73,31.73,32.439999,27.054626,13443200
4/29/2016,"General Motors, LLC",32.349998,32.349998,31.52,31.799999,26.520868,12533000
5/2/2016,"General Motors, LLC",32.049999,32.119999,31.73,31.75,26.479172,9794000
5/3/2016,"General Motors, LLC",31.57,31.6,30.67,31.25,26.06218,15046300
5/4/2016,"General Motors, LLC",31,31.09,30.42,30.59,25.511749,13712700
5/5/2016,"General Motors, LLC",30.790001,30.809999,30.299999,30.540001,25.470051,10383800
5/6/2016,"General Motors, LLC",30.73,31.110001,30.559999,30.959999,25.820322,11427900
5/9/2016,"General Motors, LLC",31,31.07,30.540001,30.780001,25.670202,8127200
5/10/2016,"General Motors, LLC",30.9,31.370001,30.84,31.35,26.145582,9185400
5/11/2016,"General Motors, LLC",31.32,31.459999,31,31.08,25.920399,8538100
5/12/2016,"General Motors, LLC",31.200001,31.370001,30.75,31.18,26.003805,9411500
5/13/2016,"General Motors, LLC",30.870001,31.290001,30.370001,30.52,25.453367,10563400
5/16/2016,"General Motors, LLC",30.5,30.98,30.5,30.67,25.578465,17749500
5/17/2016,"General Motors, LLC",30.4,30.780001,30.280001,30.629999,25.545107,9542900
5/18/2016,"General Motors, LLC",30.559999,31.040001,30.440001,30.75,25.645189,8454200
5/19/2016,"General Motors, LLC",30.51,30.68,30.17,30.32,25.286568,10142200
5/20/2016,"General Motors, LLC",30.51,30.790001,30.4,30.57,25.495068,7736100
5/23/2016,"General Motors, LLC",30.5,30.629999,30.35,30.59,25.511749,6698900
5/24/2016,"General Motors, LLC",30.65,31.08,30.620001,31.049999,25.89538,8743100
5/25/2016,"General Motors, LLC",31.190001,31.77,31.120001,31.65,26.395775,10151600
5/26/2016,"General Motors, LLC",31.65,31.75,31.18,31.290001,26.095543,6747700
5/27/2016,"General Motors, LLC",31.309999,31.639999,31.26,31.389999,26.178938,6089800
