Date,Company,Open,High,Low,Close,Adj Close,Volume
1/4/2016,Honda (American Honda Motor Co.),30.860001,31,30.73,30.99,26.217463,760600
1/5/2016,Honda (American Honda Motor Co.),30.799999,30.91,30.67,30.75,26.014427,517100
1/6/2016,Honda (American Honda Motor Co.),30.379999,30.41,30.09,30.24,25.582972,433100
1/7/2016,Honda (American Honda Motor Co.),29.75,29.860001,29.42,29.5,24.956926,650600
1/8/2016,Honda (American Honda Motor Co.),29.940001,29.959999,28.83,28.889999,24.44087,862500
1/11/2016,Honda (American Honda Motor Co.),29.15,29.43,28.969999,29.360001,24.83849,943600
1/12/2016,Honda (American Honda Motor Co.),30.08,30.120001,29.549999,29.889999,25.286869,897900
1/13/2016,Honda (American Honda Motor Co.),30.26,30.309999,29.58,29.700001,25.126127,680200
1/14/2016,Honda (American Honda Motor Co.),29.66,30.110001,29.370001,29.959999,25.346087,705900
1/15/2016,Honda (American Honda Motor Co.),29.139999,29.280001,28.809999,29.030001,24.559313,572900
1/19/2016,Honda (American Honda Motor Co.),29.440001,29.48,28.85,29.15,24.660837,707500
1/20/2016,Honda (American Honda Motor Co.),28.35,28.42,27.549999,28.27,23.916349,701700
1/21/2016,Honda (American Honda Motor Co.),27.35,27.870001,27.15,27.620001,23.366457,1858300
1/22/2016,Honda (American Honda Motor Co.),28.41,28.74,28.309999,28.719999,24.297052,1107300
1/25/2016,Honda (American Honda Motor Co.),28.08,28.190001,27.83,27.879999,23.586412,778000
1/26/2016,Honda (American Honda Motor Co.),27.83,27.92,27.639999,27.870001,23.577951,1205800
1/27/2016,Honda (American Honda Motor Co.),27.940001,28.110001,27.469999,27.6,23.349537,1175700
1/28/2016,Honda (American Honda Motor Co.),27.559999,27.690001,27.09,27.35,23.138033,1292200
1/29/2016,Honda (American Honda Motor Co.),27.15,27.49,26.41,27.02,22.858856,1491500
2/1/2016,Honda (American Honda Motor Co.),27.620001,27.84,27.379999,27.73,23.459515,1484500
2/2/2016,Honda (American Honda Motor Co.),27.83,27.93,27.48,27.629999,23.374912,1285900
