Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,80.610001,80.620003,79.050003,80.419998,53.011387,34000
2016-01-05,79.879997,79.879997,78.559998,79.589996,52.464272,43200
2016-01-06,76.209999,77.300003,76.160004,76.949997,50.724033,32500
2016-01-07,74.480003,75.080002,73.919998,74.260002,48.950836,54500
2016-01-08,74.480003,75.900002,73.330002,73.330002,48.337799,31600
2016-01-11,75.489998,75.529999,74.010002,74.720001,49.254059,21700
2016-01-12,75.779999,76.000000,74.820000,76.000000,50.097813,27700
2016-01-13,74.860001,74.980003,72.309998,72.750000,47.955460,28300
2016-01-14,71.940002,72.860001,70.910004,72.830002,48.008209,39700
2016-01-15,69.980003,70.809998,69.519997,69.970001,46.122944,51700
2016-01-19,71.470001,72.190002,70.790001,71.410004,47.072163,44100
2016-01-20,70.180000,70.500000,68.500000,70.300003,46.340477,67400
2016-01-21,70.839996,71.959999,70.000000,71.160004,46.907372,15600
2016-01-22,72.300003,72.589996,71.489998,71.760002,47.302876,20100
2016-01-25,70.389999,70.830002,69.870003,70.519997,46.485493,19400
2016-01-26,69.889999,71.019997,69.889999,70.769997,46.650288,25200
2016-01-27,71.040001,71.919998,70.620003,70.769997,46.650288,24600
2016-01-28,71.040001,71.099998,69.599998,70.500000,46.472309,24000
2016-01-29,69.169998,70.050003,69.000000,70.040001,46.169086,23800
2016-02-01,68.529999,70.019997,68.290001,70.019997,46.155903,28500
2016-02-02,69.470001,69.510002,68.010002,68.019997,44.837540,22500
2016-02-03,70.449997,71.040001,69.110001,70.709999,46.610741,43200
2016-02-04,66.949997,68.699997,66.720001,68.540001,45.180313,65700
2016-02-05,69.120003,69.349998,67.750000,67.900002,44.758442,40100
2016-02-08,66.349998,66.800003,65.779999,66.360001,43.743301,43100
2016-02-09,65.220001,67.250000,65.220001,66.029999,43.525764,185700
2016-02-10,66.860001,67.150002,66.160004,66.330002,43.723526,21700
2016-02-11,67.180000,67.919998,66.849998,67.400002,44.428848,32200
2016-02-12,68.250000,68.370003,67.709999,68.160004,44.929829,20400
2016-02-16,69.410004,70.089996,68.750000,70.089996,46.202045,17700
2016-02-17,71.669998,72.699997,71.639999,72.620003,47.869770,19500
2016-02-18,72.220001,72.250000,71.500000,71.500000,47.131493,12800
2016-02-19,70.199997,70.599998,69.919998,70.540001,46.498676,11900
2016-02-22,70.839996,71.169998,70.800003,70.879997,46.722801,30900
2016-02-23,69.559998,69.849998,69.010002,69.150002,45.582420,16200
2016-02-24,66.480003,68.019997,65.900002,67.690002,44.620010,31600
2016-02-25,67.459999,67.699997,66.760002,67.699997,44.626602,20900
2016-02-26,68.699997,68.750000,68.000000,68.379997,45.074844,15600
2016-02-29,68.650002,68.680000,67.930000,67.970001,44.804585,29000
2016-03-01,69.830002,70.900002,69.500000,70.599998,46.538231,28300
2016-03-02,71.349998,72.190002,71.250000,71.989998,47.454491,28500
2016-03-03,72.800003,73.260002,72.720001,73.169998,48.232330,54200
2016-03-04,73.940002,74.339996,73.510002,73.620003,48.528965,25900
2016-03-07,72.730003,73.989998,72.529999,73.660004,48.555332,28800
2016-03-08,72.769997,72.769997,71.360001,71.830002,47.349026,23600
2016-03-09,71.820000,72.000000,71.279999,71.680000,47.250145,67300
2016-03-10,72.110001,72.879997,69.629997,70.599998,46.538231,94600
2016-03-11,72.290001,73.000000,72.160004,72.959999,48.093903,15300
2016-03-14,73.500000,73.800003,73.220001,73.669998,48.561909,14600
2016-03-15,73.489998,74.110001,73.260002,74.099998,48.845364,15300
2016-03-16,74.650002,76.370003,74.580002,76.330002,50.315342,26200
2016-03-17,75.029999,75.599998,74.519997,75.580002,49.820957,16600
2016-03-18,75.809998,75.970001,75.489998,75.919998,50.045071,28700
2016-03-21,75.279999,75.550003,74.790001,75.309998,49.642975,47700
2016-03-22,74.720001,75.339996,74.139999,75.000000,49.438633,33500
