Date,Company,Open,High,Low,Close,Adj Close,Volume
1/4/2016,"Volkswagen Group of America, Inc.",15.0115,15.07,14.83,15.05,11.594052,1356600
1/5/2016,"Volkswagen Group of America, Inc.",14.92,14.92,13.89,14.17,10.916128,2104400
1/6/2016,"Volkswagen Group of America, Inc.",13.834,14.07,13.75,14.07,10.83909,1329200
1/7/2016,"Volkswagen Group of America, Inc.",13.4325,13.5,13.335,13.425,10.342202,1228800
1/8/2016,"Volkswagen Group of America, Inc.",13.8045,13.82,13.55,13.654,10.518618,1629200
1/11/2016,"Volkswagen Group of America, Inc.",14.06,14.16,13.8,13.925,10.727386,834600
1/12/2016,"Volkswagen Group of America, Inc.",14.125,14.215,13.665,13.94,10.738942,764000
1/13/2016,"Volkswagen Group of America, Inc.",14.2975,14.35,13.95,13.965,10.758202,791000
1/14/2016,"Volkswagen Group of America, Inc.",14.01,14.01,13.66,13.9,10.708127,668000
1/15/2016,"Volkswagen Group of America, Inc.",13.245,13.37,13.025,13.2125,10.178499,1163400
1/19/2016,"Volkswagen Group of America, Inc.",13.2245,13.41,13.155,13.245,10.203536,515600
1/20/2016,"Volkswagen Group of America, Inc.",12.8575,12.95,12.535,12.93,9.960871,1296800
1/21/2016,"Volkswagen Group of America, Inc.",13.0475,13.5,12.88,13.45,10.361462,860600
1/22/2016,"Volkswagen Group of America, Inc.",13.8075,13.865,13.475,13.6,10.477018,1458600
1/25/2016,"Volkswagen Group of America, Inc.",13.385,13.415,13.225,13.255,10.21124,468400
1/26/2016,"Volkswagen Group of America, Inc.",13.3125,13.64,13.3,13.6025,10.478943,260000
1/27/2016,"Volkswagen Group of America, Inc.",13.49,13.72,13.425,13.555,10.44235,262600
1/28/2016,"Volkswagen Group of America, Inc.",13.4925,13.525,13.215,13.4175,10.336425,314800
1/29/2016,"Volkswagen Group of America, Inc.",12.995,13.215,12.985,13.21,10.176574,559400
2/1/2016,"Volkswagen Group of America, Inc.",12.935,13.13,12.885,13.1025,10.093758,314400
2/2/2016,"Volkswagen Group of America, Inc.",12.9525,12.97,12.76,12.795,9.85687,424400
2/3/2016,"Volkswagen Group of America, Inc.",12.7825,12.915,12.555,12.8825,9.924276,553800
2/4/2016,"Volkswagen Group of America, Inc.",12.6075,12.995,12.6075,12.97,9.991685,433000
2/5/2016,"Volkswagen Group of America, Inc.",13.375,13.52,13.2,13.2075,10.174646,556800
2/8/2016,"Volkswagen Group of America, Inc.",12.6175,12.685,12.5,12.67,9.760575,784200
2/9/2016,"Volkswagen Group of America, Inc.",12.305,12.5,12.25,12.45,9.591093,901200
2/10/2016,"Volkswagen Group of America, Inc.",12.4175,12.605,12.41,12.4675,9.604575,404800
2/11/2016,"Volkswagen Group of America, Inc.",12.5175,12.575,12.395,12.57,9.683537,495600
2/12/2016,"Volkswagen Group of America, Inc.",12.495,12.515,12.325,12.5,9.629611,622400
2/16/2016,"Volkswagen Group of America, Inc.",13.114,13.215,12.915,13.185,10.157314,617400
2/17/2016,"Volkswagen Group of America, Inc.",13.565,13.75,13.545,13.7025,10.55598,498200
2/18/2016,"Volkswagen Group of America, Inc.",14.015,14.05,13.75,13.815,10.642647,505600
2/19/2016,"Volkswagen Group of America, Inc.",13.31,13.345,13.01,13.055,10.057166,628600
2/22/2016,"Volkswagen Group of America, Inc.",13.5425,13.565,13.325,13.4925,10.394202,625200
2/23/2016,"Volkswagen Group of America, Inc.",13.3425,13.435,13.215,13.3025,10.247832,269200
2/24/2016,"Volkswagen Group of America, Inc.",12.585,13.125,12.575,13.045,10.049462,491600
2/25/2016,"Volkswagen Group of America, Inc.",12.965,13.035,12.76,12.955,9.980129,357800
2/26/2016,"Volkswagen Group of America, Inc.",13.27,13.37,13.195,13.255,10.21124,219600
2/29/2016,"Volkswagen Group of America, Inc.",13.8775,13.995,13.71,13.71,10.561757,522000
3/1/2016,"Volkswagen Group of America, Inc.",14.175,14.275,13.98,14.205,10.943089,1036800
3/2/2016,"Volkswagen Group of America, Inc.",14.3825,14.585,14.33,14.575,11.228127,696800
3/3/2016,"Volkswagen Group of America, Inc.",14.6825,14.855,12.525,14.8525,11.441904,476000
3/4/2016,"Volkswagen Group of America, Inc.",15.1575,15.29,15.065,15.116,11.644897,734000
3/7/2016,"Volkswagen Group of America, Inc.",14.6,14.965,14.575,14.7,11.324423,650600
3/8/2016,"Volkswagen Group of America, Inc.",14.5825,14.67,13.95,13.9925,10.779387,478000
3/9/2016,"Volkswagen Group of America, Inc.",14.2225,14.39,14.16,14.335,11.043238,261000
